date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_TX
1/29/2011,11101,Saturday,1,1,2011,NA,NA,NA,NA,0
1/30/2011,11101,Sunday,2,1,2011,NA,NA,NA,NA,0
1/31/2011,11101,Monday,3,1,2011,NA,NA,NA,NA,0
2/1/2011,11101,Tuesday,4,2,2011,NA,NA,NA,NA,1
2/2/2011,11101,Wednesday,5,2,2011,NA,NA,NA,NA,0
2/3/2011,11101,Thursday,6,2,2011,NA,NA,NA,NA,1
2/4/2011,11101,Friday,7,2,2011,NA,NA,NA,NA,0
2/5/2011,11102,Saturday,1,2,2011,NA,NA,NA,NA,1
2/6/2011,11102,Sunday,2,2,2011,SuperBowl,Sporting,NA,NA,1
2/7/2011,11102,Monday,3,2,2011,NA,NA,NA,NA,1
2/8/2011,11102,Tuesday,4,2,2011,NA,NA,NA,NA,0
2/9/2011,11102,Wednesday,5,2,2011,NA,NA,NA,NA,1
2/10/2011,11102,Thursday,6,2,2011,NA,NA,NA,NA,0
2/11/2011,11102,Friday,7,2,2011,NA,NA,NA,NA,1
2/12/2011,11103,Saturday,1,2,2011,NA,NA,NA,NA,1
2/13/2011,11103,Sunday,2,2,2011,NA,NA,NA,NA,1
2/14/2011,11103,Monday,3,2,2011,ValentinesDay,Cultural,NA,NA,0
2/15/2011,11103,Tuesday,4,2,2011,NA,NA,NA,NA,1
2/16/2011,11103,Wednesday,5,2,2011,NA,NA,NA,NA,0
2/17/2011,11103,Thursday,6,2,2011,NA,NA,NA,NA,0
2/18/2011,11103,Friday,7,2,2011,NA,NA,NA,NA,0
2/19/2011,11104,Saturday,1,2,2011,NA,NA,NA,NA,0
2/20/2011,11104,Sunday,2,2,2011,NA,NA,NA,NA,0
2/21/2011,11104,Monday,3,2,2011,PresidentsDay,National,NA,NA,0
2/22/2011,11104,Tuesday,4,2,2011,NA,NA,NA,NA,0
2/23/2011,11104,Wednesday,5,2,2011,NA,NA,NA,NA,0
2/24/2011,11104,Thursday,6,2,2011,NA,NA,NA,NA,0
2/25/2011,11104,Friday,7,2,2011,NA,NA,NA,NA,0
2/26/2011,11105,Saturday,1,2,2011,NA,NA,NA,NA,0
2/27/2011,11105,Sunday,2,2,2011,NA,NA,NA,NA,0
2/28/2011,11105,Monday,3,2,2011,NA,NA,NA,NA,0
3/1/2011,11105,Tuesday,4,3,2011,NA,NA,NA,NA,1
3/2/2011,11105,Wednesday,5,3,2011,NA,NA,NA,NA,0
3/3/2011,11105,Thursday,6,3,2011,NA,NA,NA,NA,1
3/4/2011,11105,Friday,7,3,2011,NA,NA,NA,NA,0
3/5/2011,11106,Saturday,1,3,2011,NA,NA,NA,NA,1
3/6/2011,11106,Sunday,2,3,2011,NA,NA,NA,NA,1
3/7/2011,11106,Monday,3,3,2011,NA,NA,NA,NA,1
3/8/2011,11106,Tuesday,4,3,2011,NA,NA,NA,NA,0
3/9/2011,11106,Wednesday,5,3,2011,LentStart,Religious,NA,NA,1
3/10/2011,11106,Thursday,6,3,2011,NA,NA,NA,NA,0
3/11/2011,11106,Friday,7,3,2011,NA,NA,NA,NA,1
3/12/2011,11107,Saturday,1,3,2011,NA,NA,NA,NA,1
3/13/2011,11107,Sunday,2,3,2011,NA,NA,NA,NA,1
3/14/2011,11107,Monday,3,3,2011,NA,NA,NA,NA,0
3/15/2011,11107,Tuesday,4,3,2011,NA,NA,NA,NA,1
3/16/2011,11107,Wednesday,5,3,2011,LentWeek2,Religious,NA,NA,0
3/17/2011,11107,Thursday,6,3,2011,StPatricksDay,Cultural,NA,NA,0
3/18/2011,11107,Friday,7,3,2011,NA,NA,NA,NA,0
3/19/2011,11108,Saturday,1,3,2011,NA,NA,NA,NA,0
3/20/2011,11108,Sunday,2,3,2011,Purim End,Religious,NA,NA,0
3/21/2011,11108,Monday,3,3,2011,NA,NA,NA,NA,0
3/22/2011,11108,Tuesday,4,3,2011,NA,NA,NA,NA,0
3/23/2011,11108,Wednesday,5,3,2011,NA,NA,NA,NA,0
3/24/2011,11108,Thursday,6,3,2011,NA,NA,NA,NA,0
3/25/2011,11108,Friday,7,3,2011,NA,NA,NA,NA,0
3/26/2011,11109,Saturday,1,3,2011,NA,NA,NA,NA,0
3/27/2011,11109,Sunday,2,3,2011,NA,NA,NA,NA,0
3/28/2011,11109,Monday,3,3,2011,NA,NA,NA,NA,0
3/29/2011,11109,Tuesday,4,3,2011,NA,NA,NA,NA,0
3/30/2011,11109,Wednesday,5,3,2011,NA,NA,NA,NA,0
3/31/2011,11109,Thursday,6,3,2011,NA,NA,NA,NA,0
4/1/2011,11109,Friday,7,4,2011,NA,NA,NA,NA,1
4/2/2011,11110,Saturday,1,4,2011,NA,NA,NA,NA,0
4/3/2011,11110,Sunday,2,4,2011,NA,NA,NA,NA,1
4/4/2011,11110,Monday,3,4,2011,NA,NA,NA,NA,0
4/5/2011,11110,Tuesday,4,4,2011,NA,NA,NA,NA,1
4/6/2011,11110,Wednesday,5,4,2011,NA,NA,NA,NA,1
4/7/2011,11110,Thursday,6,4,2011,NA,NA,NA,NA,1
4/8/2011,11110,Friday,7,4,2011,NA,NA,NA,NA,0
4/9/2011,11111,Saturday,1,4,2011,NA,NA,NA,NA,1
4/10/2011,11111,Sunday,2,4,2011,NA,NA,NA,NA,0
4/11/2011,11111,Monday,3,4,2011,NA,NA,NA,NA,1
4/12/2011,11111,Tuesday,4,4,2011,NA,NA,NA,NA,1
4/13/2011,11111,Wednesday,5,4,2011,NA,NA,NA,NA,1
4/14/2011,11111,Thursday,6,4,2011,NA,NA,NA,NA,0
4/15/2011,11111,Friday,7,4,2011,NA,NA,NA,NA,1
4/16/2011,11112,Saturday,1,4,2011,NA,NA,NA,NA,0
4/17/2011,11112,Sunday,2,4,2011,NA,NA,NA,NA,0
4/18/2011,11112,Monday,3,4,2011,NA,NA,NA,NA,0
4/19/2011,11112,Tuesday,4,4,2011,NA,NA,NA,NA,0
4/20/2011,11112,Wednesday,5,4,2011,NA,NA,NA,NA,0
4/21/2011,11112,Thursday,6,4,2011,NA,NA,NA,NA,0
4/22/2011,11112,Friday,7,4,2011,NA,NA,NA,NA,0
4/23/2011,11113,Saturday,1,4,2011,NA,NA,NA,NA,0
4/24/2011,11113,Sunday,2,4,2011,OrthodoxEaster,Religious,Easter,Cultural,0
4/25/2011,11113,Monday,3,4,2011,NA,NA,NA,NA,0
4/26/2011,11113,Tuesday,4,4,2011,Pesach End,Religious,NA,NA,0
4/27/2011,11113,Wednesday,5,4,2011,NA,NA,NA,NA,0
4/28/2011,11113,Thursday,6,4,2011,NA,NA,NA,NA,0
4/29/2011,11113,Friday,7,4,2011,NA,NA,NA,NA,0
4/30/2011,11114,Saturday,1,4,2011,NA,NA,NA,NA,0
5/1/2011,11114,Sunday,2,5,2011,NA,NA,NA,NA,1
5/2/2011,11114,Monday,3,5,2011,NA,NA,NA,NA,0
5/3/2011,11114,Tuesday,4,5,2011,NA,NA,NA,NA,1
5/4/2011,11114,Wednesday,5,5,2011,NA,NA,NA,NA,0
5/5/2011,11114,Thursday,6,5,2011,Cinco De Mayo,Cultural,NA,NA,1
5/6/2011,11114,Friday,7,5,2011,NA,NA,NA,NA,1
5/7/2011,11115,Saturday,1,5,2011,NA,NA,NA,NA,1
5/8/2011,11115,Sunday,2,5,2011,Mother's day,Cultural,NA,NA,0
5/9/2011,11115,Monday,3,5,2011,NA,NA,NA,NA,1
5/10/2011,11115,Tuesday,4,5,2011,NA,NA,NA,NA,0
5/11/2011,11115,Wednesday,5,5,2011,NA,NA,NA,NA,1
5/12/2011,11115,Thursday,6,5,2011,NA,NA,NA,NA,1
5/13/2011,11115,Friday,7,5,2011,NA,NA,NA,NA,1
5/14/2011,11116,Saturday,1,5,2011,NA,NA,NA,NA,0
5/15/2011,11116,Sunday,2,5,2011,NA,NA,NA,NA,1
5/16/2011,11116,Monday,3,5,2011,NA,NA,NA,NA,0
5/17/2011,11116,Tuesday,4,5,2011,NA,NA,NA,NA,0
5/18/2011,11116,Wednesday,5,5,2011,NA,NA,NA,NA,0
5/19/2011,11116,Thursday,6,5,2011,NA,NA,NA,NA,0
5/20/2011,11116,Friday,7,5,2011,NA,NA,NA,NA,0
5/21/2011,11117,Saturday,1,5,2011,NA,NA,NA,NA,0
5/22/2011,11117,Sunday,2,5,2011,NA,NA,NA,NA,0
5/23/2011,11117,Monday,3,5,2011,NA,NA,NA,NA,0
5/24/2011,11117,Tuesday,4,5,2011,NA,NA,NA,NA,0
5/25/2011,11117,Wednesday,5,5,2011,NA,NA,NA,NA,0
5/26/2011,11117,Thursday,6,5,2011,NA,NA,NA,NA,0
5/27/2011,11117,Friday,7,5,2011,NA,NA,NA,NA,0
5/28/2011,11118,Saturday,1,5,2011,NA,NA,NA,NA,0
