,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
1,Yung-Yuan Chen|Ching-Hwa Cheng|Jwu-E Chen,,An efficient switching network fault diagnosis for reconfigurable VLSI/WSI array processors.,1995,,,,754984,conf/vlsid/ChenCC95,0,0,1,0,1,2
2,Anwendung graphischer Darstellungen im Rahmen einer Spezifikationssprache für das Requirements Engineering.,,Z. Sun,-1988,,,,648625,conf/prozess/Sun88,1,0,2,0,2,2
3,Matthew Beaumont|John Thornton|Abdul Sattar|Michael J. Maher,,Solving Over-Constrained Temporal Reasoning Problems Using Local Search.,2004,,,,645750,conf/pricai/BeaumontTSM04,2,0,3,0,3,2
5,Sizzle: A standards-based end-to-end security architecture for the embedded Internet.,,Vipul Gupta|Michael Wurm|Yu Zhu|Matthew Millard|Stephen Fung|Nils Gura|Hans Eberle|Sheueling Chang Shantz,2005,,,,2369654,journals/percom/GuptaWZMFGES05,3,1,5,1,5,2
9,Wico Mulder|Geleyn R. Meijer,,Squads: Software Development and Maintenance on the Grid by Means of Mobile Virtual Organizations Using Adaptive Information Services.,-2004,,,,449976,conf/ifip5-5/MulderM04,1,0,5,0,5,2
12,Matthias B. Hullin|Johannes Hanika|Boris Ajdin|Hans-Peter Seidel|Jan Kautz|Hendrik P. A. Lensch,,Acquisition and analysis of bispectral bidirectional reflectance and reradiation distribution functions.,2010,,,,2273673,journals/tog/HullinHASKL10,3,3,5,3,5,2
13,Synthesis of horizontally aligned single-walled carbon nanotubes without external force and their growth characteristics.,,Fubo Rao|Tie Li|Yuelin Wang,2009,,,,910614,conf/nems/RaoLW09,2,0,5,0,5,2
15,Reza Sherafat Kazemzadeh|Hans-Arno Jacobsen,,Reliable and Highly Available Distributed Publish/Subscribe Service.,2009,,,,724572,conf/srds/KazemzadehJ09,2,0,5,0,5,2
25,An exploratory study of fault-proneness in evolving aspect-oriented programs.,,Fabiano Cutigi Ferrari|Rachel Burrows|Otávio Augusto Lazzarini Lemos|Alessandro Garcia|Eduardo Figueiredo|Nélio Cacho|Frederico Lopes|Nathalia Temudo|Liana Silva|Sérgio Soares|Awais Rashid|Paulo Cesar Masiero|Thaís Vasconcelos Batista|José Carlos Maldonado,2010,,,,429435,conf/icse/FerrariBLGFCLTSSRMBM10,2,0,5,0,5,2
30,Eric Anderson|Dirk Beyer 0002|Kamalika Chaudhuri|Terence Kelly|Norman Salazar|Cipriano A. Santos|Ram Swaminathan|Robert Endre Tarjan|Janet L. Wiener|Yunhong Zhou,,Value-maximizing deadline scheduling and its application to animation rendering.,2005,,,,720120,conf/spaa/AndersonBCKSSSTWZ05,2,0,14,0,14,2
36,Nabil H. Mustafa|Saurabh Ray,,Reprint of: Weak epsilon-nets have basis of size O(1/epsilonlog(1/epsilon)) in any dimension.,2010,,,,1891099,journals/comgeo/MustafaR10,2,9,0,9,0,2
40,Zhong Ren|Rui Wang 0004|John Snyder|Kun Zhou|Xinguo Liu|Bo Sun|Peter-Pike J. Sloan|Hujun Bao|Qunsheng Peng|Baining Guo,,Real-time soft shadows in dynamic scenes using spherical harmonic exponentiation.,-2006,,,,2272926,journals/tog/RenWSZLSSBPG06,0,3,5,3,5,2
42,Jinting Wang|Jun Cai|Attahiru Sule Alfa,,New Channel Model for Wireless Communications: Finite-State Phase-Type Semi-Markov Channel Model.,-2008,,,,324588,conf/icc/WangCA08,2,0,19,0,19,2
