,key1,key2,label,partition
0,conf/prib/AhmedF07,journals/jcc/PatraS09,False,7
1,conf/vlsid/ChenCC95,journals/tcad/LuoCWCCW08,True,4
2,conf/prozess/Sun88,conf/isnn/SunZLCS07,True,8
3,conf/pricai/BeaumontTSM04,conf/icip/SattarAS08,False,5
4,conf/dft/SemiaoRVSTT07,conf/iolts/Rodriguez-IragoAVSTT05,True,7
6,conf/lmo/DemphlousL96,conf/reflection/DemphlousL99,True,3
7,conf/dagstuhl/Caire07,conf/iros/LeeATIHO08,False,7
8,conf/eh/ZhaoJZW05,journals/mj/CaoCRJZLSZ09,True,8
9,conf/ifip5-5/MulderM04,journals/neco/GiulioniPBDG09,False,5
10,journals/tit/BT07,conf/wimob/PhrompichaiY09,False,4
11,conf/mmb/SassJ06,conf/kivs/Sass03,True,8
12,journals/tog/HullinHASKL10,journals/tim/NgamwongwattanaT10,False,8
13,conf/nems/RaoLW09,conf/cars/FuJDCWLGLZDMLHPGCLWCX03,True,3
14,journals/adt/PanagopoulosK03,conf/pricai/Golinska-PilarekMM08,False,6
15,conf/srds/KazemzadehJ09,conf/delfi/XiaoJ03,False,5
16,conf/pricai/BeaumontTSM04,journals/memetic/SattarS10,False,2
17,conf/srds/KazemzadehJ09,conf/cbms/KazemzadehS06,True,8
18,conf/icdcsw/Pardo-Castellote03,conf/rtas/SchneiderCP95,True,6
19,journals/corr/abs-0911-4329,conf/asiasim/KimC04,False,2
20,conf/cdc/LiuHT09,journals/nar/JayapandianCTYEILNSAASJ07,False,5
21,conf/vlsid/HazariDK07,conf/evoW/JuhosH08,False,1
23,conf/cec/LinHZ08,conf/dawak/CarageaZPH06,False,6
25,conf/icse/FerrariBLGFCLTSSRMBM10,conf/ictai/AraujoOS09,True,1
27,conf/mfcs/BoerRH99,journals/scp/Roever10,True,3
28,conf/icic/LeeKKK06,journals/jcc/MitinBWP03,False,7
29,journals/jcc/DiazAVRDSUP07,journals/bioinformatics/DiazAR03,True,4
31,conf/jurix/LaarschotSSLH05,journals/mansci/DeSarboBJS06,False,3
32,journals/wi/HeinrichBHKL08,conf/glvlsi/TanakaYK04,False,5
33,conf/icns/Capo-ChichiGF09,conf/aina/AdamBP10,False,3
34,conf/seal/ZhangZH08,conf/icml/ZhangH03,False,7
35,conf/iat/Silaghi06,conf/aaai/MatsuiMSHY08,True,5
37,conf/iscas/WadaNU99,conf/cases/HuynhSM07,False,7
38,conf/csb/DamSOX04,journals/bioinformatics/WangX03,False,2
39,journals/jche/WangH09,journals/ijsnet/WangXTD07,False,4
41,conf/semweb/BrochelerPS09,conf/patmos/PuglieseCC06,False,2
45,conf/aspdac/WangWX08,conf/globecom/WangFG07,False,5
46,journals/tcs/RaoS01,conf/icdim/SattarS10,False,2
47,journals/tvlsi/MoonASDB03,conf/glvlsi/BhattiDD06,True,4
48,journals/ijaci/MontoroHA10,conf/ecai/AlamanAPZ92,True,7
49,conf/appinf/JimenezSCRC94,conf/nips/Serrano-GotarredonaOLLPGRDLZWDHJCSAL05,True,8
50,conf/ifip5-5/ShamsuzzohaKHCAF10,journals/ijitm/HilmolaH06,True,3
51,conf/islped/NeveFSLH02,conf/pvm/0002KKKL07,False,1
52,journals/tsp/MaranoMW08,journals/jcisd/HollidaySWW03,False,4
53,conf/apweb/ByunLL06,journals/tc/CheonL06,False,2
54,journals/jat/Nielsen07,journals/bioinformatics/ZhangLN09,True,8
55,conf/fskd/FengYZD05,journals/ton/StoicaSZ03,False,4
56,journals/ieicet/GeLN05,conf/adg/TuloneYL00,False,2
57,conf/sac/ChenJH06,conf/islped/ChenH97,False,6
58,conf/cikm/ChenLQZ09,conf/fskd/CaoYZQY09,True,6
60,journals/ml/MeirM95,conf/nips/BartlettMM98,True,4
61,conf/pg/LiangBZ02,conf/atal/KarankeK10,False,6
62,conf/iccsa/JiangMQTZ04,conf/isnn/JiangSL05,False,2
64,journals/combinatorics/FlaxmanHS04,conf/waw/FlaxmanFV07,True,2
66,journals/bmcbi/LiuLTLGG09,conf/waim/LiWLWZ06,False,4
67,conf/ipps/WangX08,conf/globecom/WangZH06,False,8
68,conf/pimrc/CaballeroSVRJLB04,journals/tnn/Serrano-GotarredonaSASPLLJC08,True,7
70,journals/monet/UnluL10,conf/iccad/LeeJK08,False,8
71,conf/ismb/StevensRG03,conf/icsnw/ZhaoGSB04,True,5
72,conf/ecaiw/SoutchanskiT94,conf/lpar/TangT05,True,2
73,journals/cce/CisternasCS04,conf/icmb/SchierholzOGKB05,False,5
74,journals/ccr/XuG05,journals/bioinformatics/WangX03,False,8
78,conf/cost/KervellaGH94,conf/cars/KrishnanHSHYRZS04,False,1
80,conf/biocomp/ChenRKI10,conf/metmbs/HungKC05,False,7
82,conf/otm/TapiaDECO08,conf/wsc/StahlHDHHK03,False,8
83,journals/amc/MishraKA07,journals/eswa/AroraCT10a,True,1
84,journals/ibmrd/TaylorFJKGGB96,journals/pami/BrownS90,True,8
85,journals/tit/WangZZ06,conf/awic/ZhangZCW03,False,8
86,conf/gil/KustermannSAH08,conf/gil/PremWRH06,True,3
87,journals/tse/LamsweerdeDL98,journals/amc/RamadanLZ08,False,1
88,journals/eswa/KrengT03,conf/csreaESA/LayCLY08,False,8
89,journals/ijbc/BrugioniHMB07,journals/ijbc/BoccalettiHL07,True,3
90,conf/btw/Ludwig91,conf/pdpta/WismullerL99,False,3
91,conf/iconip/Karras09,conf/ntms/KarrasZ08,True,1
92,journals/concurrency/ShadidT92,journals/siamsc/BochevHST08,True,5
94,conf/rtss/WangWCZ08,conf/cimca/WangS06,True,7
97,journals/mr/ChiuCYFW10,journals/mj/WeiCYF09,True,7
99,journals/ieicet/JeongKL09b,journals/ieicet/LeePH08,False,8
100,conf/snpd/NaseerYA08,conf/esws/BaumgartnerFG07,False,2
101,conf/ismvl/ShirahamaH08,conf/fpga/HallschmidW01,False,1
102,journals/pe/NebatS06,conf/wiopt/NebatB06,True,7
103,conf/cdc/WangW09,journals/twc/WangPWSC08,False,7
104,conf/esem/RuheW08,journals/heuristics/AffenzellerW04,False,8
105,conf/icwe/HoubenPSCSW06,conf/europar/KoschSHB01,True,5
106,conf/icra/AraiSFII99,conf/ictai/ReynoldsP04,False,3
107,conf/dac/UrardPGMLYG05,conf/eurodac/MichelLSDC94,True,8
108,conf/itcc/ChoudhuryCB01,journals/chinaf/GuoZ08,False,6
109,journals/ieicet/NishiharaMF09,journals/emisa/Wendorff96,False,3
110,conf/p2p/HughesWL07,conf/ftdcs/HughesWC04,True,1
111,journals/cluster/XieQ08,conf/issre/XieN05,False,3
112,conf/icra/FuchsBGBKLGSPKBSWH09,conf/se/0002H10,False,5
113,journals/iandc/Lv06,conf/icics/Lu07,True,3
114,conf/lcn/ZhangFB05,conf/sara/ZhangSH02,False,1
115,conf/cnhpca/ZhangW09,conf/dexa/WangJ06,False,5
117,journals/amc/LvWK05a,conf/wisa/PanHL09,True,7
118,conf/iccad/LiW98,conf/icn/ZengYDZ05,False,7
122,conf/dmin/KimLT08,conf/cbms/GuanALT09,True,3
123,conf/sspr/CaetanoCB04,conf/caise/BaidaGSMA04,False,7
124,journals/tcom/WongE09,conf/fct/GauwinNT09,False,1
125,conf/sigmod/BiemBFRRVKM10,journals/mam/MoreoLVMA05,False,4
126,journals/tkde/TahaE10,journals/jc/KainenKS09,False,4
127,books/sp/geroimenko2002/Weiss-LijnMJ02,conf/iceis/SinogasVCNMT01,False,5
128,conf/ancs/LiaoBWYK10,conf/nordichi/Normark02,False,7
129,journals/cmpb/GrahamGD05,journals/cn/LandryS97,False,7
130,conf/gmds/BammannH94,journals/monet/YehHWC09,False,4
131,journals/wicomm/LeeJKL08,journals/jcrd/LeeLW06,False,7
132,conf/ifiptm/AlamoMYGTF10,conf/iscas/FujiyoshiKN94,False,3
133,journals/bioinformatics/RissmanMBDGP09,journals/wicomm/MahonenJSSMS02,False,6
134,conf/wowmom/DeanSXW06,conf/csreaSAM/AlmasYB05,False,2
137,journals/ieicet/FukudaON10,conf/iros/TakamukuFH08,True,5
138,conf/dexa/Chundi0R05,conf/acns/ZhangFI05,False,6
139,journals/tomccap/YangSGSC06,conf/vlsid/PainHCYSHW03,False,4
141,conf/snpd/LiuYZZ07,conf/ijcai/Liu95a,False,7
143,conf/jsspp/GongPF09,conf/itcc/PallickaraF05,True,7
144,journals/cn/ChanHJ08,conf/smc/EndischSEHK09,False,1
145,conf/cw/ChittaroGV05,journals/corr/abs-1012-0599,False,1
148,conf/bmei/YanLLJWS09,journals/geoinformatica/XiongL00,False,4
150,journals/jsac/StavrouRS04,conf/esorics/ArdagnaSJSM08,True,3
151,conf/ijcai/ZhangZ83,conf/kdd/AggarwalPZ06,False,7
152,conf/icdcsw/ShaoSGZO03,conf/vtc/WangWWG08,True,6
153,conf/icic/ZhangCML07,journals/jcst/RenCSCBL10,False,8
155,conf/mm/ChoeSDP07,conf/jcdl/KornbluhFR05,False,5
156,journals/tit/ChongT01,conf/geoinformatics/ZhangLCBHC10,False,1
157,journals/neco/Aussem02,conf/f-egc/AussemMC07,True,3
159,journals/amc/LongCC05,conf/icws/LongLS04,False,8
160,journals/candc/Galat96,journals/candc/Galat04,True,6
161,conf/icic/ZhangLYC08,journals/ijon/ChenC98,False,8
163,conf/pimrc/HeinrichsMD04,conf/lwa/HinneburgKMPN07,False,4
164,conf/vtc/HofbauerHK06,conf/sspr/AltincayE04,False,1
165,conf/infocom/WangZ06,conf/ccece/WangCLJK09,False,1
167,conf/aspdac/BalasaLZN09,conf/ppswr/ZhuMS04,False,4
168,journals/tcs/ChenGLNWW04,conf/ccs/ZhuGZ06,False,7
169,conf/crypto/HwangLL05,conf/wisa/KwonL06a,False,2
170,journals/ijar/CasillasHPJV07,journals/isci/BasuPB86,False,3
171,conf/edutainment/BaerendsenJN09,conf/alpit/LeeAKYKL07,False,1
172,conf/cocoon/KarakostasKW09,journals/jcst/WangZH06,False,5
173,conf/emmcvpr/JoshiKSJ07,conf/cimaging/KulikovaJDZZ10,True,1
174,conf/ijcnn/WonBML06,conf/ucs/JinLP06,False,8
175,conf/bdim/YangKML08,conf/icebe/ZhangMY06,False,1
176,journals/nar/ChenWLJW06,conf/sigmod/PanZW08,False,1
177,conf/www/AzamLA07,conf/interval/Ahmad75,False,2
178,journals/jnsm/KimH01,conf/interaction/KimOLK09,False,2
179,conf/usab/HarleyFAWM10,conf/chi/AxelrodH05,True,6
180,journals/corr/abs-1012-3956,journals/winet/BushJSEFMS97,False,7
181,journals/jot/Smialek05,conf/cso/LiWYW09,False,5
182,conf/dna/GarzonWP09,journals/ijdmb/PhanSPW10,True,1
183,journals/expert/PanYYLLL07,conf/rskt/ZhaoYG08,False,1
184,journals/jasss/AlbinoCG03,conf/gi/HildebrandWM90,False,3
185,conf/cscwd/TengMZWDDW05,conf/ictai/SabahB93,False,2
186,journals/cphysics/SchwartzkopffLMS06,journals/ori/JonesB07,False,5
188,journals/tis/Ruzic89,conf/ausai/LiZ05,False,6
189,conf/codes/BalarinLPSWY02,conf/iscc/YangGS04,False,7
190,conf/acisp/WenZWC08,conf/prdc/ZhaoZLZ06,True,4
191,conf/fuzzy/FilipPC99,conf/saci/PlastoiC09,True,7
192,journals/concurrency/TuminaroSH98,conf/sc/ShadidHMHHL94,True,8
193,conf/icpr/MaramisD10,conf/ic3k/FalelakisMLMD09,True,1
194,conf/aied/RoseACR05,conf/its/RoseTARWF04,True,6
195,conf/cit/PandaD04,conf/mie/Das09,False,8
196,conf/aict/MelloukG06,journals/corr/abs-0912-3917,True,5
197,journals/jot/BreuelR08,conf/coots/ReverbelM97,True,4
198,conf/isaac/KaoLST00,conf/cocoon/HungT06,True,2
199,journals/cacm/HorningN08,conf/ac/Horning76b,True,6
200,conf/conext/RuminJGS08,conf/gi/FellmannHTN10,False,6
201,conf/dna/ReifSY05,conf/sfp/SannellaHAGSBLMMS05,False,1
203,journals/jcal/AndersonCFHLT00,journals/jcal/Tolmie01,True,6
204,conf/IEEEscc/KousiourisKKGKV10,conf/icassp/JoussePMEJ09,False,3
205,conf/ifip12/XiCCL07,conf/stoc/ChenLL08,False,4
206,conf/mie/DiasOVM06,journals/logcom/BeklemishevJV05,False,4
207,conf/icycs/FuJX08,conf/cgo/Srisa-anCSS10,False,3
209,journals/isci/ChenZTWSMLK08,conf/ispa/ChenPWC05,False,3
210,conf/isbra/EhlerRZBBCB10,conf/ciarp/BordelEILPZ05,False,3
211,journals/amc/ChenLB08,conf/asplos/KgilDSBDMRF06,False,4
212,conf/icra/SchmidtPB10,conf/arcs/FeyS05,False,7
213,conf/ifip6-8/NatkaniecP00,conf/performance/FilipiakP84,True,4
215,journals/corr/cmp-lg-9611005,conf/trec/LeeSLJCLKCKAKK01,True,1
216,conf/kbse/ZaraketAK07,conf/webist/StephanidesCCG06,False,8
217,journals/nar/DrocPFL09,journals/neco/HuangBGHE09,False,7
218,conf/vtc/WangZL10,conf/iccd/ShayestehKSSR05,False,2
219,journals/ieicet/IwamotoSNM10,conf/ieeehpcs/MartinezAMM10,True,8
220,conf/agiledc/WestS05,conf/xpu/NavedaBGDHMW02,False,1
223,conf/kivs/HoenerW76,conf/cbms/KazemzadehS06,False,2
224,journals/eor/ChandraA00a,conf/iccS/LangerLRKS03,False,7
226,conf/wcnc/KimSK09,conf/airs/KimRCRCK04,False,3
227,conf/qsic/ChenLW07,conf/mammo/ChanWZSHH08,False,7
230,journals/scjapan/SuzukiIO99,conf/eurocast/Rodriguez-MillanGP05,False,4
231,conf/bibe/AsvestasVKM08,journals/cmpb/MatsopoulosKAMDD04,True,1
232,conf/reflection/BlairCDPDDHS99,conf/eatis/GomesCG08,True,2
233,conf/seal/LoshchilovSS10,journals/tsp/LanucaraB07,False,1
