index,name,label,f_count,f_views,g_results,g_reviews,g_rating,t_reviews,t_rating,w_views_nl,w_views_en,w_edits,w_languages,geometry,g_url,t_url,w_url,n_f_count,n_f_views,n_g_results,n_g_reviews,n_g_rating,n_t_reviews,n_t_rating,n_w_views_nl,n_w_views_en,n_w_edits,n_w_languages
0,AFAS Live,Monument of Gebouw,21,5402,2070000,9285,4.3,260,4.0,124539,105429,45,11,POINT (4.9445428 52.3119125),"https://www.google.nl/maps/place/AFAS+Live/@52.3119158,4.9423541,17z/data=!3m1!4b1!4m5!3m4!1s0x47c608f20f74f85f:0x4cee11afcdc743f2!8m2!3d52.3119125!4d4.9445428",https://www.tripadvisor.nl/Attraction_Review-g188590-d3710824-Reviews-AFAS_Live-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiXys_Txb71AhUHGewKHQPjDYUQFnoECAIQAg&usg=AOvVaw2Pi8tGEIlQ0IAeFIZ-z0bK,https://nl.wikipedia.org/wiki/AFAS_Live,0.03488372093023256,0.014308872454493441,0.01078125,0.14144045334064528,0.86,0.004066948224620679,0.8,0.2493013740311319,0.011234008328567652,0.029980013324450366,1.0
1,Albert Cuypmarkt,Markt,20,4690,110000,25906,4.3,2428,4.0,58069,110365,70,11,POINT (4.8953871 52.3559673),"https://www.google.nl/maps/place/Albert+Cuypmarkt/@52.3559706,4.8931984,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609f28b745671:0xd2d8aeb9aaa10b4b!8m2!3d52.3559673!4d4.8953871",https://www.tripadvisor.nl/Attraction_Review-g188590-d314929-Reviews-Albert_Cuyp_Market-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjvh9jUxb71AhWD6aQKHYurAUIQFnoECAcQAg&usg=AOvVaw0sNuzT3TcfRGwlLlESl-Yc,https://nl.wikipedia.org/wiki/Albert_Cuypmarkt,0.03322259136212625,0.012422919624504673,0.0005729166666666667,0.3946318130579167,0.86,0.03797903957453465,0.8,0.11624215296906028,0.011759964802685874,0.046635576282478344,1.0
2,Allard Pierson Museum,Museum,218,91109,213000,545,4.2,172,3.5,33905,27502,109,11,POINT (4.8930188 52.3687868),"https://www.google.nl/maps/place/Allard+Pierson/@52.3687901,4.8908301,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c05cb7b83b:0xef0ad6d83f9d7e2f!8m2!3d52.3687868!4d4.8930188",https://www.tripadvisor.nl/Attraction_Review-g188590-d244445-Reviews-Allard_Pierson-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwibppvWxb71AhULKuwKHUr_APsQFnoECAQQAg&usg=AOvVaw3sqGh5ozVfH3wvZfTm9WWx,https://nl.wikipedia.org/wiki/Allard_Pierson_Museum,0.36212624584717606,0.24133044436439152,0.001109375,0.008302105231087957,0.8400000000000001,0.0026904426716721414,0.7,0.06787081224777401,0.002930481148946377,0.072618254497002,1.0
3,Aluminiumbrug,Monument of Gebouw,189,113306,7090,605,4.6,8,3.5,2933,0,13,1,POINT (4.8962961 52.368384),"https://www.google.nl/maps/place/Aluminiumbrug/@52.3683873,4.8941074,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609bf96600333:0x68f0af28975ee41a!8m2!3d52.368384!4d4.8962961",https://www.tripadvisor.nl/Attraction_Review-g188590-d16823747-Reviews-Aluminiumbrug-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjRq6T2xr71AhUKsaQKHeotCCwQFnoECAcQAg&usg=AOvVaw2-EmqBMrFmbbp7_0R9yAMU,https://nl.wikipedia.org/wiki/Aluminiumbrug,0.313953488372093,0.30012608336335317,3.692708333333333e-05,0.009216098467538007,0.9199999999999999,0.00012513686844986704,0.7,0.005871260649541989,0.0,0.008660892738174551,0.09090909090909091
4,American Hotel,Monument of Gebouw,230,79433,59500000,1884,4.3,95,5.0,37073,38669,105,8,POINT (4.881302 52.363889),"https://www.google.nl/maps/place/Hard+Rock+Hotel+Amsterdam+American/@52.3638923,4.8791133,17z/data=!3m1!4b1!4m8!3m7!1s0x47c609e89ce6df85:0xb8d898c14f162dab!5m2!4m1!1i2!8m2!3d52.363889!4d4.881302",https://www.tripadvisor.nl/Hotel_Review-g188590-d229477-Reviews-Hard_Rock_Hotel_Amsterdam_American-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjU48bgxr71AhWDCewKHZhmCd4QFnoECAEQAg&usg=AOvVaw1tmei5phLm12cCvgq3IN_I,https://nl.wikipedia.org/wiki/American_Hotel,0.38205980066445183,0.21040293700069929,0.3098958333333333,0.02869938762453158,0.86,0.0014860003128421711,1.0,0.0742124943949779,0.004120383082997871,0.06995336442371752,0.7272727272727273
5,Amstel Hotel,Monument of Gebouw,28,6137,3790000,1162,4.6,1309,4.5,67009,34650,170,9,POINT (4.9051643 52.3600068),"https://www.google.nl/maps/place/InterContinental+Amstel+Amsterdam/@52.3600101,4.9029756,17z/data=!3m1!4b1!4m8!3m7!1s0x47c60990b96e3fdb:0xeaf379c94c95d54d!5m2!4m1!1i2!8m2!3d52.3600068!4d4.9051643",https://www.tripadvisor.nl/Hotel_Review-g188590-d190614-Reviews-InterContinental_Amstel_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjx2ZuBx771AhUFNOwKHdzvDBoQFnoECAUQAg&usg=AOvVaw37K5AifrJaNOLVfsKQwSN-,https://nl.wikipedia.org/wiki/Amstel_Hotel,0.046511627906976744,0.016255747918035218,0.019739583333333335,0.017701002345915973,0.9199999999999999,0.020475520100109494,0.9,0.1341381878162834,0.0036921377285649027,0.11325782811459027,0.8181818181818182
6,Amstelkerk ,Monument of Gebouw,69,92673,74900,148,4.3,6,4.5,13384,869,52,6,POINT (4.8967201 52.3623392),"https://www.google.nl/maps/place/Amstelkerk+%2F+Stadsherstel/@52.3623309,4.8944678,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609948c29f619:0x85bc95a93f5e45f4!8m2!3d52.3623392!4d4.8967201",https://www.tripadvisor.nl/Attraction_Review-g188590-d14003079-Reviews-Amstelkerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiwlbLXxb71AhWSMewKHcC3D0oQFnoECAIQAg&usg=AOvVaw1lQ3iBj7jgKCEeHXWASlqu,https://nl.wikipedia.org/wiki/Amstelkerk_(Amsterdam),0.11461794019933555,0.24547318344599606,0.0003901041666666667,0.002254516649910124,0.86,9.385265133740028e-05,0.9,0.026792005637050798,9.259647001797692e-05,0.034643570952698204,0.5454545454545454
7,Amstelpark,Park of recreatiegebied,0,0,147000,5446,4.6,215,4.5,23208,26411,70,7,POINT (4.8939908 52.3300729),"https://www.google.nl/maps/place/Amstelpark/@52.3300762,4.8918021,17z/data=!3m1!4b1!4m5!3m4!1s0x47c60a3c0664755b:0x459e066e7318db54!8m2!3d52.3300729!4d4.8939908",https://www.tripadvisor.nl/Attraction_Review-g188590-d245163-Reviews-Amstelpark-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjuyunRx771AhX-57sIHbkED7sQFnoECAUQAg&usg=AOvVaw1NvrnQmmqNbv--Qkp3kHZ6,https://nl.wikipedia.org/wiki/Amstelpark,0.0,0.0,0.000765625,0.08296011942844957,0.9199999999999999,0.0033630533395901767,0.9,0.046457626032925504,0.0028142294242172483,0.046635576282478344,0.6363636363636364
8,Amstelveld,Markt,69,103772,65900,19,4.4,12,4.0,20987,53163,47,2,POINT (4.8975447 52.362329),"https://www.google.nl/maps/place/Playground+Speelplaats+Amstelveld/@52.3623275,4.8972551,19z/data=!4m5!3m4!1s0x47c6099466c85adf:0x92a7fea7d0579843!8m2!3d52.362329!4d4.8975447",https://www.tripadvisor.nl/Attraction_Review-g188590-d8588375-Reviews-Amstelveld-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiR88bYxb71AhUS6qQKHZKEALYQFnoECAUQAg&usg=AOvVaw2KZG7TmTB8sKN419Zvs7Y0,https://nl.wikipedia.org/wiki/Amstelveld,0.11461794019933555,0.2748723273505541,0.00034322916666666665,0.00028943119154251594,0.8800000000000001,0.00018770530267480057,0.8,0.04201164243161873,0.005664794172112437,0.0313124583610926,0.18181818181818182
9,Amsterdam Dungeon,Monument of Gebouw,207,78629,17700000,9595,4.4,2743,4.0,15480,98747,13,5,POINT (4.8921108 52.3701599),"https://www.google.nl/maps/place/Dungeon+Amsterdam/@52.3701632,4.8899221,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c0e330b50b:0xa90b740c72a6cbdb!8m2!3d52.3701599!4d4.8921108",https://www.tripadvisor.nl/Attraction_Review-g188590-d599199-Reviews-The_Amsterdam_Dungeon-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiA19jaxb71AhUGKewKHdaTAEoQFnoECAoQAg&usg=AOvVaw3jIO7sHE14s6zMtvz-JXWd,https://nl.wikipedia.org/wiki/Amsterdam_Dungeon,0.3438538205980066,0.2082732936364985,0.0921875,0.14616275172897053,0.8800000000000001,0.04290630376974816,0.8,0.030987765037473577,0.010522006472802265,0.008660892738174551,0.45454545454545453
10,Amsterdam Museum,Museum,256,103613,147000000,5328,4.3,2207,4.0,53772,91050,277,11,POINT (4.8899741 52.3699874),"https://www.google.nl/maps/place/Amsterdam+Museum/@52.3699907,4.8877854,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c11bb7d84f:0x7741a77a95c86bf2!8m2!3d52.3699874!4d4.8899741",https://www.tripadvisor.nl/Attraction_Review-g188590-d190206-Reviews-Amsterdam_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwito9jbxb71AhULMewKHXyjAm4QFnoECAYQAg&usg=AOvVaw21t2si9i-822_qq0qkHREs,https://nl.wikipedia.org/wiki/Amsterdam_Museum,0.42524916943521596,0.27445116653599205,0.765625,0.08116259939676447,0.86,0.03452213358360707,0.8,0.10764044583947217,0.00970185108761427,0.18454363757495004,1.0
11,Amsterdam Pipe Museum,Museum,193,91316,16800000,342,4.4,335,4.5,3962,9440,80,3,POINT (4.8852857 52.3641198),"https://www.google.nl/maps/place/Amsterdam+Pipe+Museum/@52.3641231,4.883097,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609e9095e1bc7:0xbd5fb2f2e737113c!8m2!3d52.3641198!4d4.8852857",https://www.tripadvisor.nl/Attraction_Review-g188590-d3856538-Reviews-Amsterdam_Pipe_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjklLytx771AhUP2KQKHW62BQQQFnoECAkQAg&usg=AOvVaw27t8_3aY2gUQXtUr-QhoYU,https://nl.wikipedia.org/wiki/Amsterdam_Pipe_Museum,0.32059800664451826,0.24187874806636858,0.0875,0.005209761447765287,0.8800000000000001,0.0052401063663381825,0.9,0.007931106271219013,0.0010058811012309576,0.05329780146568954,0.2727272727272727
12,Amsterdam Tulip Museum,Museum,176,66487,2040000,915,4.1,776,3.5,2823,1949948,24,3,POINT (4.8841612 52.3762877),"https://www.google.nl/maps/place/Amsterdam+Tulip+Museum/@52.3763255,4.8819344,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c53ed78de3:0x24fa3c4e9991e0f6!8m2!3d52.3762877!4d4.8841612",https://www.tripadvisor.nl/Attraction_Review-g188590-d644813-Reviews-Amsterdam_Tulip_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjZ39yyx771AhWOM-wKHX6VDbEQFnoECAIQAg&usg=AOvVaw2e7RywDIF_PTX9bWdlsPCA,https://nl.wikipedia.org/wiki/Amsterdam_Tulip_Museum,0.292358803986711,0.17611144074081922,0.010625,0.013938396855863266,0.82,0.012138276239637103,0.7,0.005651063352764076,0.2077771018626169,0.015989340439706862,0.2727272727272727
