name,wiki_views
AFAS Live,155380
Albert Cuypmarkt,75647
Albertcomplex,1541
Allard Pierson Museum,49448
Amstelkerk ,18227
Amstelveld,28155
Johan Cruijff ArenA,340414
Amsterdam Dungeon,24119
Amsterdam Museum,80644
Anne Frank Huis,238884
Johan Cruijff Boulevard,4935
Artis,230923
Azartplein,13081
Basiliek van de Heilige Nicolaas ,73247
Begijnhof ,86139
Bijbels Museum,15104
Bijlmerbajes,123378
Bimhuis,24219
Blauwbrug,28096
Bloemenmarkt,19629
Brouwerij 't IJ,73859
Brouwerij De Prael,18297
Dam ,172293
Dappermarkt,34073
DeLaMar,76602
De Duif ,32996
De Kleine Komedie,24993
De Krijtberg,25307
De Papegaai,25390
De Wallen,300413
Eye Filmmuseum,15426
Engelse Hervormde Kerk ,15033
He Hua Tempel,26193
Hermitage Amsterdam,130999
Grachtenmuseum Amsterdam,2663
Het Scheepvaartmuseum,83080
Homomonument ,68634
Joods Museum ,335
Kalverpassage,4875
Kleinste huis van Amsterdam,24325
Koningsplein ,16669
Koninklijk Concertgebouw,111900
Koninklijk Theater Carré,133329
Leidseplein ,55714
Lloyd Hotel ,33397
Magere Brug,64137
Magna Plaza,42818
Markenplein,4915
Melkweg ,71224
Millennium Tower ,15112
Montelbaanstoren,44179
Muntplein ,21354
Munttoren ,53199
Museum Ons' Lieve Heer op Solder,76986
Museum Van Loon,51995
Museumplein,74311
Muziekgebouw aan 't IJ,49634
NEMO Science Museum,55866
Nieuwe Kerk ,131797
Noorderkerk ,29069
Noordermarkt,24684
Olympisch Stadion ,153617
Oost-Indisch Huis ,55468
Oosterkerk ,19039
Openbare Bibliotheek Amsterdam,35128
Oude Kerk ,130945
Oudeschans ,27311
Pakhuis de Zwijger,39889
Paleis op de Dam,353258
Paradiso ,144270
Posthoornkerk,23248
Pythonbrug,22493
Rembrandthuis,58607
Rembrandtplein ,69040
Rembrandttoren,83404
Rijksmuseum Amsterdam,530393
Ronde Lutherse Kerk,26744
Skydome ,1544
Spoorwegbassin,5169
Stadhuis van Amsterdam,60823
Stadsschouwburg Amsterdam,72499
Station Amsterdam Amstel,61567
Station Amsterdam Centraal,247945
Stedelijk Museum Amsterdam,124150
Stopera,100577
Theater Amsterdam,11826
Theater Bellevue,18075
Tropenmuseum,94098
Uitmarkt,18680
VOC-Kamer Amsterdam,22423
Van Gogh Museum,168983
Verzetsmuseum Amsterdam,25148
Vlooienburg,21837
Waag ,101257
Waterlooplein ,50949
Westerkerk ,83691
Westermarkt ,22372
Westpoort ,47484
Zeedijk ,58037
Ziggo Dome,546388
Zuiderkerk ,38673
Scharrebiersluis ,5550
Vrijheidscarillon,5782
Barlaeus Gymnasium,70831
Watertoren ,7581
Grafmonument van de familie Vom Rath-Bunge,4000
Warnersblokken,4332
Grote en Kleine Verfdoos,2531
"Nieuwe Nieuwstraat 22, Amsterdam",291
Berlageblokken,9114
Elisabeth Otter-Knoll,5346
Apollo House,20750
Jeruzalemkerk ,13792
Gerardus Majellakerk ,14531
Schepping ,796
Marinus Vreugde,2802
Synagoge Gerard Doustraat,5783
Toegangshek Vondelpark ,271
Entrepotdoksluis,3040
Leidsebrug ,878
Ceres ,289
De Bijenkorf ,34721
Eigen Haard ,14365
Hallen van Stork,10406
Vrije Universiteit Amsterdam,192958
Rechthuis Watergraafsmeer,4383
Sarphatimonument,4418
Nieuwe Passeerdersstraat 1,854
Stenen Silo,10904
Hirschgebouw,12610
Willem I-sluis,6993
Remise Tollensstraat,13433
Corantijnschool,2386
Uilenburger Synagoge,10931
Het Zandkasteel ,16134
Amstelrust,8023
De Otter ,19307
Vijzelstraat 31 ,1692
Nieuwe Herengracht,16460
Willem IJzerdraat,1343
Vondelkerk,27678
Station Amsterdam Muiderpoort,43391
Gerrit van der Veen,134101
Grote Synagoge ,18608
Museum Het Schip,54842
Vondelparkpaviljoen,44863
Huiszittenweduwenhof,12428
Mariniersbrug,4960
Van Buurenmonument,2581
Oranje-Nassau Kazerne,13363
West-Indisch Huis ,35353
