name,label,wiki_page_obj,wiki_url,wiki_nl_views,wiki_norm_nl_views,wiki_eng_views,wiki_norm_eng_views,wiki_nr_of_edits,wiki_norm_nr_of_edits,wiki_nr_of_languages,wiki_norm_nr_of_languages,TA_name,TA_rating,TA_reviews,TA_url,wiki_coordinates
AFAS Live,Monument of Gebouw,<WikipediaPage 'AFAS Live'>,https://nl.wikipedia.org/wiki/AFAS_Live,124539.0,0.249266809334393,105429.0,0.0112340083285676,45,0.0293333333333333,11,1.0,AFAS Live,4.0,260.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d3710824-Reviews-AFAS_Live-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiXys_Txb71AhUHGewKHQPjDYUQFnoECAIQAg&usg=AOvVaw2Pi8tGEIlQ0IAeFIZ-z0bK,"(52.31222222, 4.94416667)"
Albert Cuypmarkt,Markt,<WikipediaPage 'Albert Cuypmarkt'>,https://nl.wikipedia.org/wiki/Albert_Cuypmarkt,58069.0,0.1162014617769939,110365.0,0.0117599648026858,70,0.046,11,1.0,Albert Cuyp Market,4.0,2428.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d314929-Reviews-Albert_Cuyp_Market-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjvh9jUxb71AhWD6aQKHYurAUIQFnoECAcQAg&usg=AOvVaw0sNuzT3TcfRGwlLlESl-Yc,"(52.35597222, 4.89538889)"
Albertcomplex,Monument of Gebouw,<WikipediaPage 'Albertcomplex'>,https://nl.wikipedia.org/wiki/Albertcomplex,602.0,0.0011590918645363,0.0,0.0,7,0.004,1,0.0,,,,,
Allard Pierson Museum,Museum,<WikipediaPage 'Allard Pierson Museum'>,https://nl.wikipedia.org/wiki/Allard_Pierson_Museum,33905.0,0.0678278938760312,27502.0,0.0029304811489463,109,0.072,11,1.0,Allard Pierson,3.5,172.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d244445-Reviews-Allard_Pierson-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwibppvWxb71AhULKuwKHUr_APsQFnoECAQQAg&usg=AOvVaw3sqGh5ozVfH3wvZfTm9WWx,"(52.36861111, 4.89333333)"
Amstelkerk ,Monument of Gebouw,<WikipediaPage 'Amstelkerk (Amsterdam)'>,https://nl.wikipedia.org/wiki/Amstelkerk_(Amsterdam),13384.0,0.0267471958584987,2.0,2.1311040280316899e-07,52,0.034,6,0.5,Amstelkerk,4.5,6.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d14003079-Reviews-Amstelkerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiwlbLXxb71AhWSMewKHcC3D0oQFnoECAIQAg&usg=AOvVaw1lQ3iBj7jgKCEeHXWASlqu,"(52.36222222, 4.89638889)"
Amstelveld,Markt,<WikipediaPage 'Amstelveld'>,https://nl.wikipedia.org/wiki/Amstelveld,20987.0,0.0419675334164783,53163.0,0.0056647941721124,47,0.0306666666666666,2,0.1,Amstelveld,4.0,12.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d8588375-Reviews-Amstelveld-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiR88bYxb71AhUS6qQKHZKEALYQFnoECAUQAg&usg=AOvVaw2KZG7TmTB8sKN419Zvs7Y0,"(52.36222222, 4.8975)"
Johan Cruijff ArenA,Monument of Gebouw,<WikipediaPage 'Johan Cruijff ArenA'>,https://nl.wikipedia.org/wiki/Johan_Cruijff_ArenA,184052.0,0.3684050375453677,433884.0,0.046232597004925,1501,1.0,11,1.0,Johan Cruyff Arena,4.5,1365.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245166-Reviews-Johan_Cruyff_Arena-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwis79fZxb71AhXnsaQKHYjHAGUQFnoECAIQAg&usg=AOvVaw0ZnHZCECVD2c33-69q53ss,"(52.31416667, 4.94194444)"
Amsterdam Dungeon,Monument of Gebouw,<WikipediaPage 'Amsterdam Dungeon'>,https://nl.wikipedia.org/wiki/Amsterdam_Dungeon,15480.0,0.0309431484458359,98747.0,0.0105220064728022,13,0.008,5,0.4,The Amsterdam Dungeon,4.0,2743.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d599199-Reviews-The_Amsterdam_Dungeon-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiA19jaxb71AhUGKewKHdaTAEoQFnoECAoQAg&usg=AOvVaw3jIO7sHE14s6zMtvz-JXWd,
Amsterdam Museum,Museum,<WikipediaPage 'Amsterdam Museum'>,https://nl.wikipedia.org/wiki/Amsterdam_Museum,53772.0,0.1075993585957972,91050.0,0.0097018510876142,277,0.184,11,1.0,Amsterdam Museum,4.0,2206.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190206-Reviews-Amsterdam_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwito9jbxb71AhULMewKHXyjAm4QFnoECAYQAg&usg=AOvVaw21t2si9i-822_qq0qkHREs,"(52.37027778, 4.89083333)"
Anne Frank Huis,Monument of Gebouw,<WikipediaPage 'Anne Frank Huis'>,https://nl.wikipedia.org/wiki/Anne_Frank_Huis,177070.0,0.3544278710545334,1121274.0,0.1194775768963602,532,0.354,11,1.0,Anne Frank House,4.5,62465.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190555-Reviews-Anne_Frank_House-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwil5O_cxb71AhVti_0HHTbVCdIQFnoECAAQAg&usg=AOvVaw0R8-irGOVqeagxG-NPPRby,"(52.37515278, 4.88413056)"
Johan Cruijff Boulevard,Monument of Gebouw,<WikipediaPage 'Johan Cruijff Boulevard'>,https://nl.wikipedia.org/wiki/Johan_Cruijff_Boulevard,,,433884.0,0.046232597004925,66,0.0433333333333333,1,0.0,,,,,
Artis,Monument of Gebouw,<WikipediaPage 'Artis'>,https://nl.wikipedia.org/wiki/Artis,169659.0,0.3395918955656228,1406932.0,0.149915922618334,771,0.5133333333333333,11,1.0,ARTIS Amsterdam Royal Zoo,4.5,7069.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d244497-Reviews-ARTIS_Amsterdam_Royal_Zoo-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj2o6Lexb71AhWPhf0HHQ4NBHUQFnoECAYQAg&usg=AOvVaw0XqVmNKDo03Cgp6t48Un2F,"(52.36611111, 4.91583333)"
Azartplein,Monument of Gebouw,<WikipediaPage 'Azartplein'>,https://nl.wikipedia.org/wiki/Azartplein,8573.0,0.0171161233882317,,,42,0.0273333333333333,1,0.0,,,,,"(52.37722222, 4.93694444)"
Basiliek van de Heilige Nicolaas ,Monument of Gebouw,<WikipediaPage 'Basiliek van de Heilige Nicolaas (Amsterdam)'>,https://nl.wikipedia.org/wiki/Basiliek_van_de_Heilige_Nicolaas_(Amsterdam),48705.0,0.0974558033667715,14751.0,0.0015717957758747,170,0.1126666666666666,11,1.0,Sint Nicolaaskerk,4.5,493.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d267062-Reviews-St_Nicholas_Basilica-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjUyfDfxb71AhV_iv0HHX8BDJsQFnoECAoQAg&usg=AOvVaw2JaonCAoT432R2MrdPl2ki,"(52.37652778, 4.90111111)"
Begijnhof ,Monument of Gebouw,<WikipediaPage 'Begijnhof (Amsterdam)'>,https://nl.wikipedia.org/wiki/Begijnhof_(Amsterdam),65115.0,0.1303067489575179,159759.0,0.0170231524207157,128,0.0846666666666666,7,0.6,Begijnhof,4.5,4571.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d244498-Reviews-Begijnhof-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjGovTgxb71AhVIg_0HHRmhARIQFnoECAQQAg&usg=AOvVaw3QWX9xK91gT2yUaay3vex1,"(52.36944444, 4.89)"
Bijbels Museum,Museum,<WikipediaPage 'Bijbels Museum'>,https://nl.wikipedia.org/wiki/Bijbels_Museum,11725.0,0.0234260673554488,17952.0,0.0019128789755612,81,0.0533333333333333,10,0.9,Bijbels Museum,3.5,3.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d17396119-Reviews-Bijbels_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiij4_ixb71AhUhgv0HHVh5BScQFnoECAQQAg&usg=AOvVaw0nWoC1zb4yYR_-2q2BWwq3,"(52.36861111, 4.88638889)"
Bijlmerbajes,Monument of Gebouw,<WikipediaPage 'Bijlmerbajes'>,https://nl.wikipedia.org/wiki/Bijlmerbajes,97194.0,0.1945252427786975,34367.0,0.0036619826065682,142,0.094,3,0.2,,,,,"(52.33944444, 4.92277778)"
Bimhuis,Concertzaal of Theater,<WikipediaPage 'Bimhuis'>,https://nl.wikipedia.org/wiki/Bimhuis,17905.0,0.0357977214536093,33644.0,0.0035849431959549,96,0.0633333333333333,5,0.4,Bimhuis,4.5,92.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245173-Reviews-Bimhuis-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiBoYvjxb71AhUXgf0HHUefBrMQFnoECAYQAg&usg=AOvVaw0Rqf5Z5JQadlv997vz5KG4,"(52.37799806, 4.91291111)"
Blauwbrug,Monument of Gebouw,<WikipediaPage 'Blauwbrug'>,https://nl.wikipedia.org/wiki/Blauwbrug,20136.0,0.0402639286207607,21425.0,0.0022829451900289,72,0.0473333333333333,11,1.0,Blauwbrug,4.0,70.0,https://www.tripadvisor.nl/ShowUserReviews-g188590-d10311014-r403778962-Blauwbrug-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwi3_ITkxb71AhXJgf0HHSE1AegQFnoECAMQAg&usg=AOvVaw1-rgrMVOIh-1IXhnNGOOgD,"(52.36638889, 4.90097222)"
Bloemenmarkt,Markt,<WikipediaPage 'Bloemenmarkt'>,https://nl.wikipedia.org/wiki/Bloemenmarkt,15264.0,0.0305107411181332,78738.0,0.0083899434479579,37,0.024,11,1.0,Bloemenmarkt,3.5,3804.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190207-Reviews-Bloemenmarkt-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwigoKvlxb71AhVRi_0HHQT9CV0QFnoECAEQAg&usg=AOvVaw2giPXr4wExDRJ-ChEBFeV8,"(52.36677778, 4.89134722)"
Brouwerij 't IJ,Monument of Gebouw,<WikipediaPage 'Brouwerij 't IJ'>,https://nl.wikipedia.org/wiki/Brouwerij_%27t_IJ,50492.0,0.1010331732492007,68555.0,0.0073048918320856,125,0.0826666666666666,6,0.5,Brouwerij 't IJ,4.5,2335.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d591008-Reviews-Brouwerij_t_IJ-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjS1MDmxb71AhWEgv0HHb_tAagQFnoECAMQAg&usg=AOvVaw1zKIQr0qUPKaPZif3a09hn,
Brouwerij De Prael,Monument of Gebouw,<WikipediaPage 'Brouwerij De Prael'>,https://nl.wikipedia.org/wiki/Brouwerij_De_Prael,14875.0,0.0297320075511131,0.0,0.0,21,0.0133333333333333,2,0.1,Brouwerij de Prael,4.5,699.0,https://www.tripadvisor.nl/Restaurant_Review-g188590-d2336115-Reviews-Brouwerij_de_Prael-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiNx9rnxb71AhWYhv0HHQ6QCXEQFnoECAIQAg&usg=AOvVaw2k-DhYn0ZB5A7bKfGcfWmk,
Dam ,Monument of Gebouw,<WikipediaPage 'Dam (Amsterdam)'>,https://nl.wikipedia.org/wiki/Dam_(Amsterdam),120253.0,0.2406867268967367,329892.0,0.0351517085007715,273,0.1813333333333333,11,1.0,De Dam,4.0,15258.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d189381-Reviews-Dam_Square-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjA8Nroxb71AhXN7rsIHWzWBZoQFnoECAMQAg&usg=AOvVaw0mlVS2GnEr1NDgtTJZ3bPm,"(52.37305556, 4.89277778)"
Dappermarkt,Markt,<WikipediaPage 'Dappermarkt'>,https://nl.wikipedia.org/wiki/Dappermarkt,27442.0,0.0548897061031491,25708.0,0.0027393211176319,49,0.032,7,0.6,Dappermarkt,3.5,111.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d6213053-Reviews-Dappermarkt-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjR_f3pxb71AhXj7rsIHalIB2MQFnoECAMQAg&usg=AOvVaw01uxp86eQ_WoZ5mlupGSOv,
