"humidity"	"temperature"
"1"	79.7	26.2
"2"	77.4	13.8
"3"	75.8	56.7
"4"	71.7	36.9
"5"	74	21.8
"6"	75.5	73.9
"7"	79.6	33.1
"8"	80.8	77.2
"9"	84.2	29.3
"10"	78.6	71.4
"11"	82.1	35.7
"12"	81.4	24.4
"13"	83	85.9
"14"	87.4	56.6
"15"	81.1	35
"16"	78.8	23.1
"17"	72.4	60.7
"18"	71.6	76.5
"19"	76.7	68.4
"20"	76	79.9
"21"	70.7	13.9
"22"	69.5	24.2
"23"	68.8	57.4
"24"	70.9	13.3
"25"	75.2	49
"26"	83.9	14.2
"27"	83.9	77.6
"28"	86.4	80.5
"29"	89.7	69.7
"30"	92.1	80.1
"31"	74.8	15.8
"32"	79.5	80.7
"33"	74.2	70.5
"34"	74.5	20
"35"	71.6	76.3
"36"	75	86.1
"37"	77.6	43.7
"38"	82.1	66.1
"39"	85.4	79.9
"40"	83.2	72.7
"41"	81.5	87.2
"42"	80	82.9
"43"	81.3	28.4
"44"	84.5	38.2
"45"	85.8	79.8
"46"	77.7	57.3
"47"	73.7	44.6
"48"	68.3	26.1
"49"	73.8	54.7
"50"	79.4	31.5
"51"	76.7	23.7
"52"	70.5	63.7
"53"	65.1	74.3
"54"	68	21.4
"55"	77.3	32.6
"56"	77.8	73.5
"57"	82.6	85.2
"58"	83.4	50.4
"59"	84.9	58.4
"60"	91.5	71.4
